Job ID,Job URL,Job Title,Company Name,Reason,Timestamp
f7850d2f0d4c7735,https://www.jobsnepal.com/customer-care-142707,Customer Care,A Reputable Company,no_apply_contact,2026-06-25T20:39:02.488403
e69248d79f60f186,https://www.jobsnepal.com/content-creator-work-from-home-142700,Content Creator (Work From Home),NOVA LINK TRANSPORT SDN BHD,no_apply_contact,2026-06-25T20:39:08.337504
167f1a1965aae2e4,https://www.jobsnepal.com/business-development-specialist-142686,Business Development Specialist,Arukubossystems LLC,no_apply_contact,2026-06-25T20:39:14.015887
3c48795e0d208722,https://www.jobsnepal.com/research-and-marketing-officer-assistant-142683,Research and Marketing Officer / Assistant,Asian Center for Development Pvt.Ltd.,no_apply_contact,2026-06-25T20:39:16.234126
cd3bf7ddc0a7005e,https://www.jobsnepal.com/tourticketing-officerassistant-142682,Tour/Ticketing officer/Assistant,Asian Center for Development Pvt.Ltd.,no_apply_contact,2026-06-25T20:39:18.447190
91c0ab58be1c2c3f,https://www.jobsnepal.com/technical-sales-engineer-142681,Technical Sales Engineer,Albelo Multi Trading Pvt Ltd,no_apply_contact,2026-06-25T20:39:20.760094
c10c3b878f3d0534,https://www.jobsnepal.com/growth-marketing-executive-142660,Growth Marketing Executive,Ren Recruiting,no_apply_contact,2026-06-25T20:39:31.449751
865ca39815019af0,https://www.jobsnepal.com/senior-software-engineer-142632,Senior Software Engineer,Truckit.net Pty Ltd,no_apply_contact,2026-06-25T20:39:39.434726
c8a25719cf4a1f97,https://www.jobsnepal.com/carpet-rug-loom-inspector-142623,Carpet / Rug Loom Inspector,Kamal Rug,no_apply_contact,2026-06-25T20:39:49.171324
7da0d60ff50087bd,https://www.jobsnepal.com/finance-and-admin-assistant-142601,Finance and Admin Assistant,Daayitwa,no_apply_contact,2026-06-25T20:40:06.151697
d85f1cac0d7f370c,https://www.jobsnepal.com/online-chat-and-call-support-agent-142584,Online Chat and Call Support Agent,Joy Technology,no_apply_contact,2026-06-25T20:40:08.365929
